,Title,Price,Location,Category,Time,Day,Month,Region
0,Кислородный Конц Аренда,3000.0,Нур-Султан,elektronika,12:00,4,December,Нур-Султан
1,Кислородный Конц Аренда 5 литр,3000.0,Петропавловск,elektronika,13:15,6,December,Северо-Казахстанская
2,Калонка Аренда Lg Cj 98 3500W RMS Жалға беріледі,6000.0,Шымкент,elektronika,12:00,4,December,Шымкент
3,"Аренда пушка газовая, прокат пушек в Шымкенте, обогреватель, калорифер",2000.0,Шымкент,elektronika,01:05,5,December,Шымкент
4,"Музыкальная аппаратура, караоке аренда",8500.0,Актобе,elektronika,21:17,5,December,Актюбинская
5,Philips TL 20w/52 Аренда/Продажа фотоламп от желтухи у новорожденных,1000.0,Шымкент,elektronika,17:24,6,December,Шымкент
6,Аренда/Прокат фотолампы Philips 20w/52,1000.0,Шымкент,elektronika,16:45,6,December,Шымкент
7,"ПР0КАТ пс4, ps4, FIFA 21, фифа, arenda UFC, Юфс 4, доставка",2500.0,Актобе,elektronika,15:40,6,December,Актюбинская
8,Аренда караоке систем AST от 15000тг.,15000.0,Каскелен,elektronika,15:25,6,December,Алматинская
9,Супер Фотолампы аренда,800.0,Алма-Ата (Алматы),elektronika,15:14,6,December,Алма-Ата (Алматы)
10,"Аренда караоке на ночь, сутки.",8000.0,Тараз,elektronika,14:59,6,December,Жамбылская
11,Аренда Караоке Прокат Караоке karaoke,2500.0,Актау,elektronika,14:23,6,December,Мангистауская
12,Газовая пушка Аренда,2000.0,Актобе,elektronika,13:21,6,December,Актюбинская
14,Аренда Pioneer DDJ-400,10000.0,Нур-Султан,elektronika,13:03,6,December,Нур-Султан
15,Аренда тепловая пушки,4000.0,Кокшетау,elektronika,12:57,6,December,Акмолинская
16,Arenda Ps 4,4000.0,Шымкент,elektronika,12:50,6,December,Шымкент
17,"PR0KAT ps4, пс4, FIFA, фифа, UFC, юфс, arendа, доставка",2500.0,Актобе,elektronika,12:05,6,December,Актюбинская
18,Аренда/Прокат/Продажа фотолампы от желтухи Philips TL 20w/52,1000.0,Шымкент,elektronika,12:05,6,December,Шымкент
19,Аренда профессионального караоке AST-100.,22000.0,Алма-Ата (Алматы),elektronika,11:47,6,December,Алма-Ата (Алматы)
20,Кондитерский миксер в аренду,40000.0,Алма-Ата (Алматы),elektronika,03:06,6,December,Алма-Ата (Алматы)
21,Кофе аппарат (автомат) вендинг с местом без аренды.,1000000.0,Нур-Султан,elektronika,00:45,6,December,Нур-Султан
22,"Аренда микрофонов, Стойки микрофона",2000.0,Алма-Ата (Алматы),elektronika,00:27,6,December,Алма-Ата (Алматы)
23,Кофемашина в аренду,60000.0,Нур-Султан,elektronika,00:10,6,December,Нур-Султан
24,Колонка аренда,0.0,Уральск,elektronika,22:19,5,December,Западно-Казахстанская
26,"Аренда колонки звук,стойки микрофоны",10000.0,Алма-Ата (Алматы),elektronika,21:16,5,December,Алма-Ата (Алматы)
27,Продатся Playstation4 (не был в аренде),90000.0,Жумыскер,elektronika,20:12,5,December,Атырауская
28,АрендаТелевизоров,20000.0,Алма-Ата (Алматы),elektronika,19:47,5,December,Алма-Ата (Алматы)
29,Пульт управления световыми приборами. (Аренда),50000.0,Нур-Султан,elektronika,19:05,5,December,Нур-Султан
30,Осушитель воздуха продажа-аренда,3000.0,Алма-Ата (Алматы),elektronika,18:30,5,December,Алма-Ата (Алматы)
31,"Аренда Музыкалный Аппаратура Колонка,Микрофон, Музыкант,Пулть, Усилите",5000.0,Шымкент,elektronika,16:20,5,December,Шымкент
32,Аренда профессионального караоке AST-250,25000.0,Алма-Ата (Алматы),elektronika,16:08,5,December,Алма-Ата (Алматы)
33,Игровой компьютер в аренду,8000.0,Алма-Ата (Алматы),elektronika,15:19,5,December,Алма-Ата (Алматы)
34,Прокат аренда игровых компьютеров 1500/сутки,6000.0,Нур-Султан,elektronika,14:23,5,December,Нур-Султан
35,Продам или сдам в аренду по адекватной цене,100000.0,Костанай,elektronika,14:17,5,December,Костанайская
